"LBV persistence"
0
0
0
0.132
0
0
0
0
0
0
0
0
0
0
0
0.2
0.2
0
0.2
0.2
0
0
0
0.2
0
0
0
0
0
0
0.2
0.2
0
0
0
0
0.2
0
0
0.2
0
0.198
0
0
0
0
0
0
0
0
0.2
0
0.2
0
0
0
0
0
0
0.2
0.098
0
0
0
0
0
0
0
0
0
0
0
0.2
0
0.2
0
0
0
0
0.178
0.2
0.2
0
0
0.2
0
0
0
0
0
0.2
0
0.2
0
0.2
0
0
0
0
0
0
0.2
0
0
0
0
0
0.2
0
0
0
0
0.2
0
0
0
0.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.2
0
0
0
0
0.2
0
0
0
0.2
0
0
0
0
0
0.2
0
0
0.2
0
0.2
0
0
0.2
0
0
0
0
0.2
0
0.2
0
0
0.2
0
0
0
0
0
0
0
0
0
0
0.2
0
0
0
0
0
0
0
0.2
0
0.2
0.2
0
0
0
0
0
0.188
0
0
0.2
0
0
0
0
0
0
0.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0.2
0
0
0.2
0
0
0
0
0
0
0
0
0
0
0.2
0
0
0
0.2
0
0
0
0
0.2
0
0
0
0
0
0
0
0
0
0
0.2
0.2
0
0
0
0
0
0
0.2
0
0.002
0.2
0
0.164
0.2
0
0.074
0.2
0
0
0
0
0
0
0
0
0
0.008
0.2
0
0.2
0
0
0
0.19
0
0
0.2
0.2
0
0
0.114
0.2
0.2
0
0
0
0
0.2
0
0
0
0
0
0
0
0
0
0.2
0
0.198
0
0
0
0
0
0
0
0
0
0
0.188
0.2
0
0
0
0
0
0
0
0.2
0.2
0
0
0
0.2
0
0
0
0
0.2
0
0.2
0
0
0
0
0
0
0
0
0
0
0
0
0.2
0
0.2
0.2
0
0.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.2
0
0
0
0
0
0
0.2
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0
0.2
0.2
0
0
0
0
0
0
0
0
0.2
0
0
0.2
0
0.2
0
0.198
0
0
0
0
0
0.2
0.2
0
0
0
0.2
0
0.2
0
0
0
0
0
0
0.2
0
0
0
0
0
0
0
0.2
0
0
0.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.2
0
0
0.2
0.198
0
0
0
0.2
0
0
0.2
0
0
0.2
0.2
0
0
0.2
0.164
0
0
0.2
0
0
0
0
0
0
0
0
0
